speciesCode,commonName,scientificName,locId,locName,observationDate,observationCount,latitude,longitude,obsValid,obsReviewed,locationPrivate,subId,exoticCategory
laudov1,Laughing Dove,Spilopelia senegalensis,L59058444,"Prajakt, Dreamland City Sawangi Meghe, Wardha",2026-05-01 10:22,1.0,20.719191,78.5807711,True,False,True,S330147377,
rewlap1,Red-wattled Lapwing,Vanellus indicus,L59058444,"Prajakt, Dreamland City Sawangi Meghe, Wardha",2026-05-01 10:22,1.0,20.719191,78.5807711,True,False,True,S330147377,
smamin1,Small Minivet,Pericrocotus cinnamomeus,L59058444,"Prajakt, Dreamland City Sawangi Meghe, Wardha",2026-05-01 10:22,2.0,20.719191,78.5807711,True,False,True,S330147377,
comior1,Common Iora,Aegithina tiphia,L59058444,"Prajakt, Dreamland City Sawangi Meghe, Wardha",2026-05-01 10:22,2.0,20.719191,78.5807711,True,False,True,S330147377,
spbfan1,Spot-breasted Fantail,Rhipidura albogularis,L59058444,"Prajakt, Dreamland City Sawangi Meghe, Wardha",2026-05-01 10:22,2.0,20.719191,78.5807711,True,False,True,S330147377,
revbul,Red-vented Bulbul,Pycnonotus cafer,L59058444,"Prajakt, Dreamland City Sawangi Meghe, Wardha",2026-05-01 10:22,2.0,20.719191,78.5807711,True,False,True,S330147377,
indwhe1,Indian White-eye,Zosterops palpebrosus,L59058444,"Prajakt, Dreamland City Sawangi Meghe, Wardha",2026-05-01 10:22,2.0,20.719191,78.5807711,True,False,True,S330147377,
junbab2,Jungle Babbler,Argya striata,L59058444,"Prajakt, Dreamland City Sawangi Meghe, Wardha",2026-05-01 10:22,2.0,20.719191,78.5807711,True,False,True,S330147377,
brasta1,Brahminy Starling,Sturnia pagodarum,L59058444,"Prajakt, Dreamland City Sawangi Meghe, Wardha",2026-05-01 10:22,2.0,20.719191,78.5807711,True,False,True,S330147377,
indrob1,Indian Robin,Copsychus fulicatus,L59058444,"Prajakt, Dreamland City Sawangi Meghe, Wardha",2026-05-01 10:22,1.0,20.719191,78.5807711,True,False,True,S330147377,
magrob,Oriental Magpie-Robin,Copsychus saularis,L59058444,"Prajakt, Dreamland City Sawangi Meghe, Wardha",2026-05-01 10:22,1.0,20.719191,78.5807711,True,False,True,S330147377,
pursun3,Purple-rumped Sunbird,Leptocoma zeylonica,L59058444,"Prajakt, Dreamland City Sawangi Meghe, Wardha",2026-05-01 10:22,1.0,20.719191,78.5807711,True,False,True,S330147377,
pursun4,Purple Sunbird,Cinnyris asiaticus,L59058444,"Prajakt, Dreamland City Sawangi Meghe, Wardha",2026-05-01 10:22,1.0,20.719191,78.5807711,True,False,True,S330147377,
rocpig,Rock Pigeon,Columba livia,L31641276,Home,2026-05-01 10:11,1.0,18.5642418,73.7400139,True,False,True,S330145238,N
grecou1,Greater Coucal,Centropus sinensis,L31641276,Home,2026-05-01 10:11,1.0,18.5642418,73.7400139,True,False,True,S330145238,
asikoe2,Asian Koel,Eudynamys scolopaceus,L31641276,Home,2026-05-01 10:11,1.0,18.5642418,73.7400139,True,False,True,S330145238,
